Script started on Tue Mar  3 22:47:14 2015
[?1034hbash-3.2$ java Pizzeria.class [K[K[K[K[K[K[K
Wartezeit für Erzeuger? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Wie viele Verbraucher? 1
Wartezeit für Verbraucher 1? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Pizzeria JAV02 hat geöffnet.
E ( 10sek):    6 |******         |
E (  2sek):    7 |*******        |
E (  8sek):    8 |********       |
V1( 12sek):    8 |********       |
E (  8sek):    8 |********       |
E (  1sek):    9 |*********      |
V1( 13sek):   10 |**********     |
V1(  7sek):    9 |*********      |
E ( 13sek):    8 |********       |
V1(  6sek):    9 |*********      |
E ( 11sek):    8 |********       |
V1(  6sek):    8 |********       |
E (  4sek):    8 |********       |
E (  4sek):    9 |*********      |
V1( 11sek):   10 |**********     |
E (  9sek):    9 |*********      |
V1(  7sek):   10 |**********     |
V1(  5sek):    9 |*********      |
V1(  3sek):    8 |********       |
E (  9sek):    8 |********       |
E (  1sek):    8 |********       |
V1(  6sek):    9 |*********      |
V1(  8sek):    8 |********       |
E ( 14sek):    7 |*******        |
V1(  4sek):    8 |********       |
V1(  2sek):    7 |*******        |
V1(  6sek):    6 |******         |
E ( 13sek):    5 |*****          |
V1(  4sek):    6 |******         |
E ( 11sek):    5 |*****          |
V1( 11sek):    6 |******         |
E (  9sek):    5 |*****          |
V1( 11sek):    6 |******         |
V1(  8sek):    5 |*****          |
E ( 12sek):    5 |*****          |
V1(  7sek):    5 |*****          |
E (  9sek):    4 |****           |
E (  2sek):    5 |*****          |
E (  4sek):    6 |******         |
E (  1sek):    7 |*******        |
V1( 14sek):    8 |********       |
E (  9sek):    7 |*******        |
V1( 14sek):    8 |********       |
E ( 13sek):    7 |*******        |
E (  2sek):    8 |********       |
E (  1sek):    9 |*********      |
V1( 13sek):   10 |**********     |
V1(  4sek):    9 |*********      |
E ( 13sek):    8 |********       |
V1( 12sek):    9 |*********      |
E ( 12sek):    8 |********       |
